title,category,days_to_trend,archetype,confidence,timing,recommendation
VonOff 1700 - I Tried ft BigOpp (Official Video),Music,0,Fast Mover,5/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
Mortal Kombat II | Official Trailer II,Film & Animation,0,Flash Viral,29/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
🔴LIVE | RV THERE YET NEW MAP w/ Cloakzy & Gingy & Officer,Gaming,0,Flash Viral,14/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Aaya Sher - Lyrical | The Paradise | Nani | Anirudh Ravichander | Srikanth Odela,Music,1,Flash Viral,15/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
T.I. - “Let ‘Em Know” (Official Trailer) [Dir. Hype Williams],Comedy,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Sirius - No more Brawl Stars! (Brawl Stars Animation),Gaming,0,Flash Viral,9/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
BabyDrill- Knocked Off (Official Music Video),People & Blogs,0,Flash Viral,5/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
MORTAL KOMBAT 2 Official Trailer 2 (2026),Entertainment,0,Flash Viral,7/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
I Moved Into The Wrong Neighborhood…,Gaming,0,Flash Viral,4/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Pedro Capó & Farruko - Calma (Remix) (Letra),Music,6,Flash Viral,25/100,Early trend — publish within 48–72 hours.,Skip it — high engagement but burns out before most creators can publish.
Metallica: Life Burns Faster at Sphere in Las Vegas (Trailer),Music,0,Fast Mover,6/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
The Game You Cannot Escape - Half Life & Black Mesa Retrospective & History,Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Loe Shimmy - No Mileage (Official Music Video),Music,0,Mid-Burn Trending,6/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
"Gorillaz - The Mountain, The Moon Cave and The Sad God (Trailer 2)",Music,0,Mid-Burn Trending,3/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
Social Distortion - 'Born To Kill',Music,0,Mid-Burn Trending,13/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
MORTAL KOMBAT 2 TRAILER 2026 | You Weak Pathetic Fool!,Entertainment,0,Fast Mover,22/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
"Grupo Frontera, Fuerza Regida - COQUETA [Letra/Lyrics]",People & Blogs,1,Flash Viral,44/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Louis Theroux: Inside The Manosphere | Official Trailer | Netflix,Entertainment,0,Flash Viral,12/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
I Solo Queued in Champ Lobbies...,Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Toto - Hold The Line (Lyrics),Music,6,Flash Viral,18/100,Early trend — publish within 48–72 hours.,Skip it — high engagement but burns out before most creators can publish.
My Singing Monsters - Welcome to the Clubbox feat. T-Pain (Official Trailer),Gaming,0,Mid-Burn Trending,1/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
Getting Every NEW BRAINROT From The Lucky Blocks..,Gaming,0,Flash Viral,1/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Alex Warren - Ordinary (Lyrics),Music,2,Flash Viral,20/100,Early trend — publish within 48–72 hours.,Skip it — high engagement but burns out before most creators can publish.
Mortal Kombat II | Official Trailer II | Reaction!,Entertainment,0,Flash Viral,6/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Laufey - How I Get (Official Lyric Video With Chords),Music,0,Mid-Burn Trending,6/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
BTS WORLD TOUR 'ARIRANG' LIVE VIEWING IN GOYANG & JAPAN Main Trailer,Music,0,Mid-Burn Trending,6/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
I Forced 300 Minecraft Players to Dig A Massive Hole,Gaming,0,Flash Viral,1/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Sugar Daddy,Music,4,Flash Viral,31/100,Early trend — publish within 48–72 hours.,Skip it — high engagement but burns out before most creators can publish.
TEENAGE SEX AND DEATH AT CAMP MIASMA | Official Teaser | In Theaters August 7,Entertainment,0,Flash Viral,12/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
"IT'S ALL... OVER? | No, I Am Not Human - Part 3",Gaming,0,Fast Mover,3/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
Dominic Fike - Babydoll,People & Blogs,3,Flash Viral,30/100,Early trend — publish within 48–72 hours.,Skip it — high engagement but burns out before most creators can publish.
Nothing to Profitable - (Official Trailer),People & Blogs,0,Mid-Burn Trending,10/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
This Could be a CRAZY Playoff Run! Wheel of MUT! Ep. #45,Sports,0,Flash Viral,6/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Baby Keem - Birds & the Bees (Official Video),Music,2,Mid-Burn Trending,9/100,Early trend — publish within 48–72 hours.,Viable if you can turn around quality content in 3–5 days.
Powerplex Gameplay Trailer | Invincible VS,Gaming,0,Mid-Burn Trending,2/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
I Have Returned To Fall Guys,Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
"Tarvin Toune, Dj Dirty Fingerz & Saii Kay - SOLO (Audio)",Music,12,Flash Viral,13/100,Growing trend — you have up to a week.,Skip it — high engagement but burns out before most creators can publish.
That Time I Got Reincarnated as a Slime Season 4 | Official Trailer | Crunchyroll,Film & Animation,0,Flash Viral,7/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
I Added MARRIAGE In Steal a Brainrot,Gaming,0,Fast Mover,5/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
Nino Paid - Holding Me Back (Official Video),Music,1,Fast Mover,16/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
Bizarre Lineage | Release Trailer,People & Blogs,0,Mid-Burn Trending,4/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
BABYLOCC - SOLO POR DIVERSIÓN 😂 (shot by KLO Vizionz) #spanishdrill ,Music,0,Mid-Burn Trending,1/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
Pretty Lethal - Official Trailer | Prime Video,Entertainment,0,Flash Viral,12/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Poppy Playtime Chapter 5 speedruns are terrifying,Gaming,0,Flash Viral,2/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
ENHYPEN (엔하이픈) 'No Way Back (Feat. So!YoON!)' (Special Clip),Entertainment,0,Mid-Burn Trending,24/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
Honest Trailers | Predator: Badlands,Film & Animation,1,Fast Mover,17/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
99 Nights but it's FLAMINGO,Gaming,0,Flash Viral,3/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
How Now,Music,13,Flash Viral,9/100,Growing trend — you have up to a week.,Skip it — high engagement but burns out before most creators can publish.
Character Trailer - 'Varka: The Code of Chivalry' | Genshin Impact #GenshinImpact #Varka,Gaming,1,Mid-Burn Trending,12/100,Trending now — act within 24 hours or skip.,Viable if you can turn around quality content in 3–5 days.
"Scamming $4,138,731 in Roblox My Scamming Brainrots",Gaming,0,Fast Mover,4/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
Pomily Family Band - All Versions Clubbox Full Song (My Singing Monsters),Gaming,0,Flash Viral,1/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
For All Mankind — Season 5 Official Trailer | Apple TV,Entertainment,1,Flash Viral,30/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
Saving the Owl in 99 Nights in the Forest🔦,Gaming,0,Fast Mover,4/100,Trending now — act within 24 hours or skip.,Move fast — the window is open but closing. Publish within 48 hours.
"Sean Rii, Sharzkii - Forever",Music,5,Flash Viral,16/100,Early trend — publish within 48–72 hours.,Skip it — high engagement but burns out before most creators can publish.
Mortal Kombat 2 Trailer! Project Hail Mary Reviews! - John Campea Show,Entertainment,0,Flash Viral,11/100,Trending now — act within 24 hours or skip.,Skip it — high engagement but burns out before most creators can publish.
