iter	Logloss
0	0.6730629146
1	0.6546999582
2	0.6401683714
3	0.6255382035
4	0.6126098053
5	0.6012647527
6	0.5923118999
7	0.5821896071
8	0.5731573398
9	0.565812723
10	0.5584791911
11	0.552328482
12	0.5466181405
13	0.5408891861
14	0.5353633624
15	0.5308725773
16	0.5264109584
17	0.5231647371
18	0.5191460454
19	0.5159727263
20	0.5130446514
21	0.5104716383
22	0.5078263562
23	0.5056489866
24	0.5043762103
25	0.5020607963
26	0.5001494651
27	0.4981320101
28	0.4965719886
29	0.4948110104
30	0.4927579604
31	0.4913027319
32	0.4896189151
33	0.4875297352
34	0.4859430587
35	0.4846669946
36	0.4833991092
37	0.4818114898
38	0.4808634418
39	0.4794745639
40	0.4784002506
41	0.4773836467
42	0.4765008066
43	0.4732869833
44	0.4728777748
45	0.4721061196
46	0.471270382
47	0.4702194717
48	0.4694700368
49	0.4687857918
50	0.4677508903
51	0.4669639446
52	0.4657522469
53	0.4635933979
54	0.4624604351
55	0.4618402866
56	0.4606279572
57	0.4595005424
58	0.4585720751
59	0.4568346538
60	0.4543912351
61	0.4531383489
62	0.4521034682
63	0.4510838172
64	0.4502647037
65	0.4492412723
66	0.4487966571
67	0.4480685246
68	0.4473581168
69	0.4463111265
70	0.4458572228
71	0.444716995
72	0.443620409
73	0.4430821807
74	0.4426559033
75	0.4421915197
76	0.4414986465
77	0.4408341909
78	0.440109045
79	0.4396044416
80	0.439099883
81	0.4388204643
82	0.4383149002
83	0.4373527751
84	0.4371821382
85	0.4369792841
86	0.4365658855
87	0.436210698
88	0.4356692132
89	0.435396159
90	0.4347584474
91	0.4342556371
92	0.4336231735
93	0.4332501003
94	0.4329430168
95	0.4325014738
96	0.4315663442
97	0.4312492023
98	0.4305419222
99	0.4303460961
100	0.4294120776
101	0.4278617345
102	0.4276745511
103	0.4270064077
104	0.4256758355
105	0.4253560929
106	0.4251009673
107	0.4249058977
108	0.4245848718
109	0.4236660663
110	0.4234516262
111	0.4230990236
112	0.4220906341
113	0.4215994019
114	0.4213845469
115	0.4213144804
116	0.4208445542
117	0.4205020708
118	0.4198451848
119	0.4197121912
120	0.4196661248
121	0.4190403935
122	0.4189407287
123	0.4183216865
124	0.4179155977
125	0.417511105
126	0.4173277368
127	0.4170751687
128	0.4166431476
129	0.4163861422
130	0.4160157866
131	0.4155576158
132	0.415386683
133	0.4147780707
134	0.414392296
135	0.4134973819
136	0.4129610201
137	0.4126235206
138	0.4123146026
139	0.4120425298
140	0.4116489311
141	0.4111836212
142	0.4107865263
143	0.4106081266
144	0.4103999134
145	0.4101423724
146	0.4100746008
147	0.4099343967
148	0.4097319091
149	0.4095512384
150	0.4092503272
151	0.4092467707
152	0.4090274813
153	0.4086419156
154	0.4075062073
155	0.4072575013
156	0.4066508407
157	0.406288995
158	0.4060507896
159	0.4056997389
160	0.4052152557
161	0.4049524956
162	0.4044550412
163	0.4043371718
164	0.4039132283
165	0.403126244
166	0.4030591037
167	0.4027539185
168	0.4024035957
169	0.4022429855
170	0.4019917319
171	0.401798146
172	0.4011792583
173	0.400944511
174	0.4007510684
175	0.3999813803
176	0.3998519069
177	0.3996382246
178	0.3992829525
179	0.3989785173
180	0.3985820234
181	0.3983872116
182	0.3981144916
183	0.3977945907
184	0.3974647622
185	0.3972095743
186	0.3970422687
187	0.3966257892
188	0.3963895349
189	0.396127573
190	0.3958608823
191	0.3957508608
192	0.3954510764
193	0.3951320421
194	0.3948984568
195	0.3941864478
196	0.3938020715
197	0.3935740887
198	0.3932480858
199	0.3930207313
200	0.3928296612
201	0.3926330827
202	0.3922946898
203	0.3920415469
204	0.3918315759
205	0.3916622157
206	0.3914917856
207	0.3912113592
208	0.3909561824
209	0.3906982416
210	0.3905251132
211	0.3904270368
212	0.3902185215
213	0.3895627807
214	0.389419664
215	0.3890009698
216	0.3879892607
217	0.3878467642
218	0.3876398363
219	0.3873794956
220	0.3871502948
221	0.3867667364
222	0.3865254812
223	0.386346054
224	0.3860942116
225	0.3858953278
226	0.3856989637
227	0.3854851968
228	0.3852359863
229	0.3850780221
230	0.3844642915
231	0.3842991712
232	0.3839922073
233	0.3837619077
234	0.3834874886
235	0.3832562279
236	0.3829057942
237	0.3827216013
238	0.3825551952
239	0.3824272231
240	0.3820686022
241	0.3818623427
242	0.3815840025
243	0.3814431915
244	0.3810405741
245	0.380826886
246	0.3806455541
247	0.3802972788
248	0.3801133302
249	0.3798498293
250	0.3796879992
251	0.3794532317
252	0.3791402252
253	0.3788561356
254	0.3786158595
255	0.3781453443
256	0.3780446699
257	0.3779250498
258	0.3776242924
259	0.3775437864
260	0.377371425
261	0.3772324585
262	0.3768918565
263	0.376694428
264	0.3764006562
265	0.3760369756
266	0.3758201461
267	0.3755870121
268	0.375276389
269	0.3751023175
270	0.3748418695
271	0.3747320442
272	0.3746470073
273	0.3744902644
274	0.3743231522
275	0.3742101708
276	0.3737124158
277	0.373558247
278	0.3734929066
279	0.3733538576
280	0.3730481005
281	0.3729018475
282	0.3724711014
283	0.3723213602
284	0.3721708838
285	0.3718914264
286	0.3718168905
287	0.3715931763
288	0.3714462065
289	0.3713539566
290	0.3708815942
291	0.3707053716
292	0.3705307937
293	0.3703970839
294	0.370241182
295	0.3700083329
296	0.3697318948
297	0.3695438515
298	0.3693478469
299	0.3691281433
