iter	Passed	Remaining
0	61	18428
1	64	9679
2	69	6841
3	73	5413
4	76	4532
5	80	3949
6	83	3514
7	87	3182
8	90	2934
9	94	2740
10	97	2550
11	99	2397
12	102	2263
13	105	2152
14	108	2053
15	111	1972
16	113	1889
17	115	1815
18	118	1754
19	121	1703
20	124	1657
21	127	1612
22	130	1572
23	133	1533
24	135	1492
25	138	1463
26	141	1430
27	144	1400
28	146	1372
29	149	1344
30	152	1323
31	155	1301
32	158	1280
33	160	1258
34	163	1240
35	166	1223
36	169	1208
37	172	1192
38	175	1175
39	179	1166
40	182	1149
41	185	1137
42	188	1125
43	191	1112
44	194	1100
45	197	1089
46	200	1077
47	202	1064
48	205	1051
49	208	1040
50	211	1030
51	213	1019
52	216	1008
53	219	1001
54	223	994
55	226	986
56	229	976
57	231	967
58	234	958
59	237	950
60	241	945
61	244	938
62	247	931
63	250	923
64	253	915
65	255	906
66	258	899
67	261	892
68	264	885
69	267	879
70	270	872
71	273	865
72	276	859
73	279	854
74	282	848
75	285	841
76	288	835
77	291	830
78	294	822
79	297	817
80	300	811
81	302	805
82	306	800
83	309	796
84	312	791
85	315	785
86	318	779
87	321	774
88	324	768
89	326	762
90	330	757
91	333	752
92	335	746
93	338	741
94	341	735
95	344	731
96	346	726
97	349	720
98	352	714
99	354	709
100	357	704
101	360	700
102	363	695
103	366	691
104	369	686
105	372	682
106	376	678
107	379	674
108	382	670
109	385	665
110	388	660
111	391	656
112	393	651
113	396	647
114	400	643
115	402	637
116	404	633
117	407	629
118	410	624
119	413	620
120	415	615
121	418	610
122	421	605
123	424	601
124	426	597
125	429	593
126	432	589
127	435	585
128	438	580
129	440	576
130	443	572
131	446	568
132	449	564
133	452	560
134	455	556
135	458	552
136	461	548
137	463	544
138	466	540
139	469	536
140	472	533
141	475	529
142	478	525
143	481	521
144	485	518
145	488	514
146	490	510
147	493	507
148	496	503
149	500	500
150	503	496
151	506	492
152	509	489
153	512	485
154	515	482
155	518	478
156	522	475
157	525	472
158	528	468
159	531	465
160	534	461
161	537	457
162	540	454
163	543	450
164	546	447
165	550	444
166	552	440
167	555	436
168	558	432
169	561	429
170	564	425
171	566	421
172	570	418
173	573	415
174	576	411
175	579	408
176	582	404
177	585	401
178	589	398
179	591	394
180	595	391
181	598	387
182	601	384
183	604	380
184	607	377
185	610	374
186	613	370
187	616	367
188	619	363
189	622	360
190	624	356
191	627	353
192	630	349
193	633	345
194	635	342
195	638	338
196	641	335
197	645	332
198	648	329
199	651	325
200	653	321
201	656	318
202	659	315
203	663	312
204	666	308
205	669	305
206	672	302
207	675	298
208	678	295
209	681	292
210	684	288
211	687	285
212	690	282
213	693	278
214	696	275
215	699	272
216	702	268
217	705	265
218	708	261
219	711	258
220	714	255
221	717	251
222	720	248
223	723	245
224	726	242
225	729	238
226	732	235
227	735	232
228	738	228
229	740	225
230	743	222
231	746	218
232	749	215
233	752	212
234	755	208
235	758	205
236	761	202
237	763	199
238	766	195
239	769	192
240	772	189
241	774	185
242	777	182
243	780	179
244	783	175
245	786	172
246	789	169
247	792	166
248	795	162
249	798	159
250	801	156
251	804	153
252	806	149
253	810	146
254	813	143
255	816	140
256	819	137
257	822	133
258	825	130
259	828	127
260	831	124
261	834	121
262	837	117
263	840	114
264	842	111
265	845	108
266	848	104
267	851	101
268	853	98
269	856	95
270	859	91
271	862	88
272	864	85
273	867	82
274	870	79
275	873	75
276	876	72
277	878	69
278	881	66
279	884	63
280	887	60
281	890	56
282	893	53
283	896	50
284	900	47
285	902	44
286	905	41
287	908	37
288	911	34
289	914	31
290	916	28
291	919	25
292	922	22
293	925	18
294	927	15
295	930	12
296	932	9
297	936	6
298	938	3
299	942	0
